ch05_07,ch06_07,ch07_13,ch12_15,bt07_11,bt07_13,bt13_15,bt07_08r,bt07_09r,bt07_10r,bt07_11r,bt07_12r,bt07_13r,bt07_14r,bt07_15r,bt07_16r,bt11_15r,bt13_14r,bt13_15r,num
0.232529375,0.094001237,0.048399552,0.646110735,3.51294,1.22389,1.57658,1.165408416,1.118658095,1.09316705,1.01221452,1.112666165,1.004221873,1.003684461,1.009713194,1.068938543,0.997528858,0.999464847,1.005468235,0
0.260065498,0.108360624,0.049124168,0.63229724,3.66335,1.11399,1.71528,1.190970315,1.138378079,1.106802335,1.012716797,1.117605618,1.003833135,1.003311423,1.009793052,1.07148694,0.997112969,0.999480281,1.005937159,0
0.236210579,0.092976505,0.047946881,0.641404909,3.54544,1.24379,1.61121,1.165940051,1.120174719,1.094652544,1.012344365,1.113857243,1.004296148,1.003411694,1.009916581,1.068169672,0.99760182,0.99911933,1.00559639,0
0.236176063,0.118675534,0.051016114,0.633629996,4.53725,2.48585,1.22959,1.195047208,1.14202945,1.109768539,1.015767481,1.120246644,1.008577475,1.008630794,1.012874825,1.075503172,0.997152246,1.000052865,1.004260802,0
0.224295927,0.091157703,0.049730565,0.634173287,4.24484,1.71331,1.76342,1.187269435,1.13373942,1.104256579,1.014760681,1.11891469,1.005905745,1.005440297,1.012057509,1.074595442,0.997336148,0.999537285,1.006115647,0
0.231787222,0.097117551,0.047162529,0.643680607,3.46323,1.37452,1.50601,1.163181398,1.117199945,1.09141457,1.012083614,1.11251493,1.004761163,1.003960412,1.010030113,1.068137905,0.997971017,0.999203044,1.005243983,0
0.216000216,0.085050085,0.045613979,0.636464026,2.80924,0.9235,1.63909,1.172942282,1.123947516,1.095122503,1.009811744,1.112808192,1.003204375,1.002159339,1.008942574,1.065212506,0.999139275,0.998958303,1.005719871,0
0.2299908,0.094702094,0.045558766,0.633727114,3.1871,0.93043,1.28482,1.177799082,1.125158829,1.095075592,1.011148071,1.112622867,1.003229037,1.003176362,1.007722412,1.065313542,0.996612109,0.999947494,1.004478912,0
0.23978877,0.098340338,0.045987607,0.638087657,3.47048,1.33017,1.2206,1.169877365,1.120019852,1.092487722,1.012147251,1.112334279,1.004621194,1.004303338,1.008899466,1.065946966,0.996791193,0.999683606,1.004258592,0
0.230854299,0.087088748,0.044773828,0.638938843,2.78086,0.69231,1.54558,1.166454317,1.119801301,1.092289129,1.009729823,1.110586185,1.002404719,1.001784885,1.007815203,1.063799341,0.99810383,0.999381653,1.005397505,0
0.246971966,0.095898689,0.046637953,0.637243938,3.32143,1.23936,1.61246,1.174900373,1.124963362,1.096787551,1.011596356,1.114034077,1.004295842,1.003809946,1.009940474,1.068328637,0.998363099,0.999516182,1.005620487,0
0.261590694,0.108532309,0.045046728,0.631038318,3.4666,1.29316,1.42864,1.178692454,1.12516704,1.09457883,1.012164599,1.114173855,1.004503463,1.003158282,1.009526134,1.064930074,0.997393245,0.998660849,1.005000153,0
0.265541145,0.097830948,0.044722404,0.6302112,3.47594,1.02744,1.32441,1.178288347,1.124424947,1.093656895,1.012202008,1.113288555,1.003576009,1.001919283,1.00822353,1.065406306,0.996069482,0.998349177,1.004630961,0
0.285316829,0.10362253,0.044281686,0.630764547,3.42535,1.0123,1.29169,1.176861899,1.123776401,1.093015743,1.012037028,1.112611327,1.003527414,1.002798048,1.008064676,1.064397243,0.996074894,0.999273198,1.004521313,0
0.291329251,0.141961288,0.051923812,0.641909713,7.60651,5.32992,0.86794,1.175785563,1.126710099,1.099871647,1.026825549,1.12349717,1.018647085,1.017707962,1.021749676,1.078101739,0.995056732,0.999078069,1.003045795,0
0.257300592,0.097424496,0.048079048,0.646424869,3.2364,1.18924,1.59391,1.158768412,1.111861983,1.088913836,1.011250948,1.112287467,1.004105033,1.003685339,1.009660059,1.06673766,0.998426811,0.999582022,1.005532316,0
0.252078107,0.100831243,0.048683305,0.642678763,3.33424,1.35763,1.66528,1.168418276,1.122402921,1.096250391,1.011580598,1.114458552,1.004683216,1.003372845,1.010487935,1.069706253,0.998919846,0.998695737,1.005777661,0
0.27118908,0.105101988,0.046808588,0.642755856,2.96855,0.99977,1.20977,1.162994972,1.115410445,1.088803193,1.010341446,1.110882687,1.003459143,1.002625918,1.007677007,1.065471554,0.997362833,0.999169647,1.004203324,0
0.233704924,0.098156068,0.050459024,0.634662877,3.81105,1.61619,1.87388,1.188584505,1.139269162,1.109420934,1.013204648,1.11943943,1.005557563,1.004726685,1.012079073,1.074856973,0.998889094,0.999173715,1.006485467,0
0.250729161,0.094663051,0.047479122,0.64306227,3.55563,1.32354,1.41761,1.16884032,1.12221476,1.09599464,1.012398011,1.112606831,1.004579367,1.004331883,1.009530959,1.067768234,0.997168059,0.999753644,1.00492902,0
0.248512888,0.105750165,0.046605987,0.639950908,3.65873,1.42791,1.28248,1.17269102,1.122019482,1.094107726,1.012795384,1.112670728,1.004955058,1.004009518,1.009447497,1.066412461,0.99669441,0.999059123,1.004470289,0
0.265791119,0.109443402,0.04689459,0.632631839,3.82766,1.2622,1.50842,1.181278065,1.128482323,1.098991326,1.013378686,1.115413648,1.004372515,1.003085069,1.009648404,1.068181008,0.996318965,0.998718158,1.00525292,0
0.257850258,0.0999001,0.045868356,0.630480645,2.99532,1.25447,1.42799,1.177423718,1.124295899,1.094043253,1.010468463,1.114964961,1.004357784,1.00255334,1.009364797,1.066328206,0.998907767,0.998203386,1.004985288,0
0.275977626,0.099795481,0.050779148,0.629387567,5.50491,3.94662,1.53989,1.182504214,1.129956115,1.100441611,1.01926809,1.125362861,1.013738884,1.011669227,1.019202451,1.075703577,0.999935601,0.997958393,1.005389521,0
0.276826093,0.115115801,0.045416975,0.632676153,4.02652,1.21991,1.4839,1.180095282,1.126863933,1.095607563,1.014140156,1.113991543,1.004242214,1.003356388,1.00945122,1.067040134,0.995376442,0.999117916,1.005187001,0
0.273077747,0.124491326,0.046758326,0.63158314,4.25951,2.08369,1.27112,1.181675948,1.127862162,1.096936839,1.014942738,1.116708844,1.007254396,1.006397965,1.011731736,1.069565342,0.996836273,0.999149737,1.004445094,0
0.266033119,0.11381096,0.044498521,0.637122369,3.42951,1.38107,1.08394,1.166519938,1.115598558,1.088111355,1.012053951,1.111078672,1.004819449,1.003726551,1.00863468,1.064773877,0.996621454,0.998912344,1.003796932,0
0.270488029,0.113662523,0.044104489,0.637154756,3.2313,1.26848,1.24629,1.16658212,1.11734186,1.089156534,1.011359461,1.11093858,1.004428714,1.003248131,1.008818326,1.063839612,0.997487406,0.998824622,1.004370257,0
0.329087551,0.14915479,0.054382197,0.635559512,8.02145,6.54837,1.25224,1.18021359,1.129765592,1.102578563,1.028234198,1.130975728,1.022930303,1.019842318,1.027435551,1.080240716,0.999223283,0.996981237,1.004404257,0
0.28148866,0.183429086,0.055587477,0.633852545,9.97136,6.91886,1.11297,1.190358461,1.137585275,1.107660593,1.03526557,1.132767116,1.024208487,1.022852953,1.028212537,1.084168628,0.993187224,0.998676506,1.003909409,0
0.266782032,0.102146273,0.049415076,0.648906689,3.49986,1.39989,1.62023,1.162770233,1.11525075,1.091857373,1.012140535,1.113129378,1.004820909,1.00394129,1.010458977,1.068615023,0.998338612,0.999124601,1.005611018,0
0.252893466,0.104802698,0.051373226,0.634362439,4.06719,1.75104,1.77132,1.191551699,1.141209436,1.110966588,1.014075846,1.120245,1.006011859,1.004940378,1.012167341,1.074523661,0.998117986,0.998934922,1.006118697,0
0.247980068,0.098959182,0.050488936,0.646670567,3.76753,1.51359,1.70903,1.170988368,1.123693772,1.097759989,1.013048045,1.115129118,1.005201397,1.00454112,1.011139841,1.07267191,0.998116374,0.999343139,1.005907716,0
0.280478684,0.104712042,0.048217422,0.645048755,3.51645,1.28853,1.33259,1.167162243,1.118929373,1.092110628,1.012234503,1.112299821,1.004448596,1.003259504,1.009091134,1.067177636,0.996894623,0.998816174,1.004621976,0
0.282698832,0.115592411,0.047968612,0.647458306,3.30976,1.27097,1.25831,1.162025585,1.114122248,1.08878146,1.011514336,1.111131344,1.004390442,1.003800095,1.008775294,1.066790374,0.997292138,0.999412234,1.004365685,0
0.274566807,0.106135068,0.051177927,0.644921157,4.03047,1.99333,1.82276,1.1723287,1.127092251,1.102182636,1.013961168,1.117522831,1.006856326,1.006705214,1.013208767,1.074555575,0.999257959,0.999849917,1.006309184,0
0.280219238,0.11974126,0.048669121,0.633917551,3.97621,1.48539,1.478,1.18514994,1.132924902,1.103114573,1.013845466,1.116867835,1.005127767,1.003741677,1.010282487,1.07021042,0.996485678,0.998620981,1.005128422,0
0.292656534,0.134031774,0.049619755,0.641483847,4.40718,2.50131,1.32253,1.168919009,1.120133501,1.093030894,1.015364427,1.117046664,1.008662576,1.007361706,1.013303717,1.070537885,0.997970472,0.998710302,1.004601282,0
0.26213283,0.10411818,0.049003401,0.638466189,3.8399,1.60901,1.79876,1.181931546,1.131165886,1.102427846,1.013356212,1.116899163,1.00555348,1.005033151,1.011835358,1.071142171,0.998499191,0.999482545,1.006247185,0
0.271039944,0.111163848,0.048209443,0.633660238,4.33959,1.35214,1.49022,1.185780096,1.13187813,1.101278725,1.015144132,1.116324874,1.004669959,1.00582916,1.009867599,1.070054912,0.994802184,1.001153813,1.00517348,0
0.295263224,0.136951878,0.048583989,0.646623707,4.0983,2.03506,1.44401,1.165940051,1.117594377,1.091815633,1.01429681,1.114018775,1.00704852,1.005654363,1.012110482,1.069556398,0.997844489,0.998615601,1.005026532,0
0.2553213,0.108701148,0.047877825,0.635530822,3.51423,1.37974,1.27977,1.178464226,1.126997429,1.097828983,1.012240174,1.114956297,1.004770214,1.003427053,1.009235662,1.069611892,0.99703182,0.998663216,1.004444249,0
0.244917642,0.100251263,0.047687805,0.634479413,3.68617,1.28856,1.51706,1.184300786,1.13152684,1.100720435,1.012850823,1.11558526,1.004454975,1.004672137,1.009751093,1.069833854,0.996939598,1.000216199,1.005272629,0
0.277935953,0.120664877,0.046014888,0.637632726,3.7556,1.60108,1.58599,1.172002269,1.122188437,1.09394746,1.013165013,1.114093542,1.005570412,1.005295572,1.011149847,1.067092896,0.998011019,0.999726682,1.005548528,0
0.361994631,0.223704547,0.063493949,0.635262509,12.75965,10.27,0.86927,1.190827525,1.140462528,1.113841523,1.045100221,1.14420384,1.035983659,1.033598006,1.039148612,1.093664067,0.994305226,0.99769721,1.003055022,0
0.250064269,0.089976396,0.050104215,0.635406826,3.63108,1.18773,1.7446,1.188019246,1.137843743,1.107903987,1.012573242,1.117668444,1.004078217,1.002916781,1.010129191,1.071532917,0.997586297,0.998843282,1.006026398,0
0.246174472,0.09708289,0.050680334,0.647151404,3.98829,1.46887,1.74718,1.171174774,1.124024461,1.098780108,1.013815061,1.115143504,1.005044008,1.004359813,1.011110374,1.072740818,0.99733217,0.999319239,1.006035921,0
0.279044995,0.1065234,0.05087859,0.644091255,3.84326,1.77471,1.75116,1.173482338,1.127420957,1.100949509,1.013307952,1.116882155,1.006101537,1.005168742,1.012195531,1.072585998,0.998902189,0.999072863,1.006057037,0
0.268857677,0.131202547,0.054037751,0.634602386,5.10319,2.66736,1.87606,1.203473659,1.149346057,1.117313316,1.017642526,1.124411978,1.009144475,1.010407194,1.015676975,1.079448242,0.998068525,1.001251277,1.006473306,0
0.299659478,0.128263337,0.051831335,0.641429971,4.71638,2.1554,1.59678,1.186857614,1.136607567,1.10786464,1.016354613,1.118801426,1.007408318,1.006944168,1.012967776,1.075105947,0.996667663,0.999539263,1.005518575,0
0.281865437,0.106157113,0.048994394,0.641866869,3.82398,1.45373,1.65778,1.170133659,1.123413618,1.097963512,1.013296009,1.115136984,1.005013314,1.004273271,1.01079201,1.070634507,0.997528858,0.999263649,1.00574987,0
0.300243948,0.140739351,0.0512261,0.643470006,4.60606,2.6642,1.41886,1.173292548,1.124324507,1.09737645,1.016008052,1.11830602,1.009197178,1.008096914,1.014164655,1.073986518,0.998185646,0.998909763,1.004922206,0
0.262158055,0.102583587,0.047610434,0.639532656,3.25885,1.11641,1.52719,1.175017805,1.127164048,1.098862281,1.011342388,1.113645711,1.003856892,1.002687545,1.009181357,1.067501967,0.997863206,0.998835146,1.005304008,0
0.280418251,0.11763308,0.050245556,0.631785037,4.64464,1.98424,1.62075,1.191038541,1.135987707,1.105621303,1.016161196,1.120235878,1.00684091,1.006962625,1.012498482,1.074274367,0.996395539,1.000120888,1.005619132,0
0.271049454,0.119508168,0.04909612,0.641172549,4.20469,1.93782,1.57399,1.177568897,1.12688261,1.099639528,1.014650433,1.11622578,1.006699048,1.005545376,1.012206756,1.071208498,0.997591607,0.998854005,1.005471057,0
0.273361087,0.106585745,0.048150957,0.641445363,3.59069,1.42503,1.71261,1.173278412,1.125657468,1.097848424,1.012501915,1.114677699,1.004924478,1.003859137,1.010907299,1.069722851,0.998425074,0.998939879,1.005953503,0
0.279437024,0.11664573,0.047665657,0.636964605,3.74739,1.63318,1.68744,1.179384671,1.128521859,1.098495889,1.013077495,1.11601648,1.005657665,1.005153777,1.011570937,1.069268495,0.99851289,0.999498947,1.005880005,0
0.269259536,0.113438045,0.048501895,0.635019345,3.93611,1.642,1.63093,1.181973467,1.13099901,1.101449165,1.013714617,1.117151607,1.005675863,1.00530032,1.011377604,1.072175732,0.997694604,0.999626576,1.005669561,0
0.283505155,0.13377516,0.049692138,0.632358126,4.7686,2.51835,1.52858,1.187420993,1.134508006,1.103894043,1.016642811,1.120502091,1.008720762,1.007810134,1.014088638,1.07405534,0.997487639,0.999097245,1.005321468,0
0.282728789,0.126381072,0.047416472,0.638654249,4.04097,1.92215,1.56603,1.17566036,1.125346003,1.09682274,1.0141348,1.115578713,1.006673973,1.005644016,1.012177664,1.06958029,0.998070142,0.998976871,1.005467203,0
0.307544548,0.13691352,0.05523874,0.637066119,4.69217,2.07887,2.39,1.204234738,1.152220691,1.120070723,1.016131434,1.124703811,1.007083406,1.006786088,1.015351955,1.079714457,0.999232895,0.999704773,1.008210391,0
0.25720048,0.094042466,0.051156229,0.635635904,3.73212,1.28975,1.97715,1.191490025,1.140981107,1.110887621,1.012895702,1.119279228,1.004419216,1.003946466,1.011270097,1.073601072,0.998395092,0.99952933,1.006820739,0
0.251842484,0.111203175,0.053374206,0.648669434,4.88571,2.42757,1.97167,1.178099617,1.131182379,1.105176591,1.016896631,1.119373541,1.008324685,1.007973359,1.01518868,1.076891569,0.998320429,0.999651575,1.006807327,0
0.287579313,0.117542338,0.051191995,0.645063095,3.69305,1.6025,1.90743,1.175331896,1.129044264,1.102867997,1.012766325,1.116895077,1.005499859,1.004892345,1.012125631,1.072991133,0.999367382,0.99939581,1.006589531,0
0.252541196,0.102068733,0.054726632,0.634570328,5.46192,2.62185,1.96653,1.198520926,1.144875114,1.115104876,1.01887273,1.125082244,1.008971315,1.009016786,1.015806652,1.081324746,0.996990715,1.000045066,1.00677456,0
0.255578274,0.09667526,0.05195783,0.642666815,3.85458,1.50382,2.36208,1.188311578,1.139917249,1.111230109,1.013303653,1.119256436,1.005148495,1.004930299,1.013343244,1.076642085,1.000039071,0.999782922,1.008152774,0
0.271299803,0.104090537,0.052549072,0.64584006,4.75205,2.06354,2.11805,1.182240201,1.135417941,1.108157659,1.016447488,1.119250383,1.007076344,1.006915678,1.014444529,1.077218608,0.998029451,0.999840464,1.007316412,0
0.305883423,0.139864911,0.05176128,0.636983129,4.39129,2.14061,1.54065,1.190021657,1.138887551,1.109201347,1.01521237,1.119922284,1.007358161,1.006705484,1.012721383,1.075230501,0.997546339,0.99935209,1.005324046,0
0.291713961,0.115777526,0.051512876,0.645624476,4.15046,1.78089,2.02996,1.181489056,1.134207434,1.106519142,1.014364029,1.117688454,1.006113222,1.005130924,1.013173215,1.075383132,0.998826048,0.999023671,1.007017096,0
0.24215894,0.100123408,0.050533492,0.637804361,3.87039,1.56717,1.89036,1.185574811,1.135713744,1.106724225,1.013409056,1.11847511,1.005386515,1.004923296,1.011961583,1.073501837,0.99857168,0.999539263,1.006539842,0
0.267660835,0.114711787,0.049785304,0.635211921,4.04525,1.63828,1.63026,1.189346581,1.136901655,1.106360369,1.01405264,1.118110838,1.005643967,1.005739873,1.011323903,1.073517419,0.997309077,1.000095368,1.005648059,0
0.284762265,0.13233765,0.050482143,0.633917551,4.51276,2.05949,1.91124,1.194521023,1.139346298,1.10844667,1.015688057,1.120731899,1.00709902,1.006536266,1.013777794,1.074470756,0.998119243,0.999441212,1.006631695,0
0.277368679,0.122729504,0.049152144,0.637676684,4.0835,1.86342,1.58894,1.183425943,1.132388845,1.102666806,1.01421776,1.117217069,1.006438212,1.005755074,1.011993927,1.071535667,0.997807341,0.999321232,1.005520174,0
0.284476703,0.138140951,0.051389292,0.63287079,5.17149,2.78834,1.75201,1.191275388,1.138032828,1.10787973,1.018005878,1.122866749,1.009628433,1.009316118,1.015773739,1.077221175,0.997807341,0.999690663,1.0060867,0
0.329280648,0.146909828,0.04826577,0.636939091,4.71359,1.93553,1.42138,1.181627529,1.129940763,1.100620893,1.01648908,1.116415846,1.006705703,1.006894497,1.011687673,1.070840603,0.99527648,1.000187536,1.004948785,0
0.295761099,0.122807377,0.054893717,0.635243221,4.50433,1.75353,2.18607,1.204079626,1.151708964,1.120622618,1.01547768,1.123770827,1.005969021,1.005821146,1.013510949,1.079850177,0.998063245,0.999853003,1.007497178,0
0.264116001,0.107330008,0.054072169,0.641444559,4.34936,1.8835,2.15271,1.18705242,1.135363033,1.108823934,1.014970917,1.121435756,1.006428625,1.006193755,1.013878066,1.07855516,0.998923268,0.999766631,1.007401857,0
