ch05_07,ch06_07,ch07_13,ch12_15,bt07_11,bt07_13,bt13_15,bt07_08r,bt07_09r,bt07_10r,bt07_11r,bt07_12r,bt07_13r,bt07_14r,bt07_15r,bt07_16r,bt11_15r,bt13_14r,bt13_15r,num
0.221638161,0.093166484,0.056733295,0.67055638,5.58964,2.16585,3.42022,1.256852314,1.210432917,1.158551469,1.01921194,1.118664722,1.007357579,1.008055036,1.019199434,1.085758848,0.99998773,1.000692364,1.011755364,0
0.268400602,0.097702311,0.052066011,0.673372808,5.30111,2.0292,2.91304,1.244186448,1.199010127,1.149604737,1.018403703,1.112850728,1.00696559,1.00789319,1.017136475,1.078804443,0.998755672,1.000921183,1.010100529,0
0.261622662,0.102243339,0.057849409,0.674526858,7.50512,4.19251,3.9815,1.266271481,1.21881874,1.16591508,1.026013267,1.124225054,1.014366578,1.017258591,1.028397524,1.092323948,1.002323807,1.002851053,1.013832224,0
0.249125519,0.111852274,0.056927982,0.651525151,7.24346,3.74725,3.96914,1.253213773,1.205340111,1.161995815,1.02511307,1.129450661,1.012836122,1.014454042,1.026796655,1.091933765,1.001642341,1.001597416,1.013783606,0
0.23458168,0.09817295,0.056040084,0.662126167,6.63003,3.39224,4.38786,1.270879356,1.225317853,1.172870152,1.022967845,1.126066924,1.0116211,1.013913962,1.027059743,1.090811889,1.004000025,1.002266523,1.01526129,0
0.240085745,0.11039657,0.055330465,0.650715324,8.01746,3.97791,4.25895,1.223283863,1.1798112,1.149139448,1.027991956,1.12993078,1.013695222,1.016705017,1.028780009,1.092267087,1.000766595,1.002969132,1.014880989,0
0.280649598,0.119802991,0.054331881,0.675367779,7.2137,4.14816,4.18919,1.25794911,1.212465851,1.163338783,1.025185729,1.122126573,1.014329413,1.016200473,1.029223458,1.089867762,1.003938534,1.001844627,1.014683637,0
0.259361323,0.115786305,0.052312784,0.65961924,7.23172,3.45132,3.34639,1.259438868,1.213682571,1.163298317,1.025338379,1.121387944,1.011934595,1.015739268,1.023781538,1.087918617,0.998481632,1.003759801,1.011707222,0
0.265271007,0.123076188,0.051677506,0.663716763,6.47663,3.87488,3.83151,1.255329335,1.211265832,1.161393918,1.02269057,1.12203798,1.013452837,1.014314196,1.027115803,1.086380986,1.004327049,1.000849926,1.0134816,0
0.262631897,0.11853298,0.053459338,0.67940501,8.91547,4.8776,4.14527,1.258096778,1.215766075,1.172563529,1.031432636,1.121878893,1.016955231,1.024442209,1.031823339,1.095620142,1.000378796,1.007362151,1.014620219,0
0.444331487,0.241884597,0.07505114,0.659381431,19.56146,14.90967,3.806,1.249045803,1.201828375,1.164732962,1.069943984,1.162424155,1.052438825,1.059778196,1.066718007,1.122500793,0.99698491,1.00697368,1.013567707,0
0.297632027,0.158082944,0.05795596,0.680502661,10.81558,7.36492,4.62459,1.265468896,1.22010136,1.173513137,1.038187501,1.131559189,1.025690951,1.029435467,1.04250859,1.103314413,1.004162148,1.003650725,1.0163964,0
0.240395728,0.100550136,0.054515189,0.685408513,8.74007,5.83842,5.10296,1.256708689,1.214462784,1.168908828,1.030781432,1.125829823,1.02035418,1.02603771,1.03883525,1.098215556,1.007813313,1.005570154,1.018112407,0
0.304390077,0.158625815,0.049496238,0.679351372,9.52185,7.67326,4.1958,1.243723861,1.203634352,1.157894718,1.034211849,1.125769135,1.027387986,1.031317699,1.043008043,1.097063163,1.008505215,1.003824956,1.01520366,0
